FileSize_KB,ExecutionTime_s,Throughput_MBps,CPU_Cycles_Placeholder,Energy_Joules_Placeholder
100,0.041287,2.37,0.0,0.0
200,0.081040,2.41,0.0,0.0
300,0.121117,2.42,0.0,0.0
400,0.161596,2.42,0.0,0.0
500,0.202260,2.41,0.0,0.0
600,0.242111,2.42,0.0,0.0
700,0.282520,2.42,0.0,0.0
800,0.323241,2.42,0.0,0.0
900,0.363650,2.42,0.0,0.0
1000,0.403784,2.42,0.0,0.0
1100,0.443527,2.42,0.0,0.0
1200,0.483922,2.42,0.0,0.0
1300,0.524550,2.42,0.0,0.0
1400,0.565038,2.42,0.0,0.0
1500,0.606149,2.42,0.0,0.0
1600,0.647688,2.41,0.0,0.0
1700,0.686531,2.42,0.0,0.0
1800,0.736272,2.39,0.0,0.0
1900,0.767057,2.42,0.0,0.0
2000,0.806486,2.42,0.0,0.0
2100,0.846705,2.42,0.0,0.0
2200,0.891196,2.41,0.0,0.0
2300,0.929075,2.42,0.0,0.0
2400,0.968992,2.42,0.0,0.0
2500,1.011878,2.41,0.0,0.0
2600,1.050481,2.42,0.0,0.0
2700,1.100831,2.40,0.0,0.0
2800,1.207719,2.26,0.0,0.0
2900,1.199777,2.36,0.0,0.0
3000,1.210249,2.42,0.0,0.0
3100,1.251340,2.42,0.0,0.0
3200,1.291679,2.42,0.0,0.0
3300,1.334692,2.41,0.0,0.0
3400,1.382676,2.40,0.0,0.0
3500,1.413966,2.42,0.0,0.0
3600,1.453099,2.42,0.0,0.0
3700,1.496759,2.41,0.0,0.0
3800,1.555072,2.39,0.0,0.0
3900,1.579331,2.41,0.0,0.0
4000,1.627619,2.40,0.0,0.0
4100,1.659563,2.41,0.0,0.0
4200,1.782143,2.30,0.0,0.0
4300,1.164785,3.61,0.0,0.0
4400,1.524995,2.82,0.0,0.0
4500,1.844651,2.38,0.0,0.0
4600,1.870789,2.40,0.0,0.0
4700,1.929054,2.38,0.0,0.0
4800,2.006390,2.34,0.0,0.0
4900,1.998134,2.39,0.0,0.0
5000,2.044184,2.39,0.0,0.0
5100,0.513721,9.69,0.0,0.0
5200,0.426026,11.92,0.0,0.0
5300,0.808085,6.40,0.0,0.0
5400,1.185161,4.45,0.0,0.0
5500,1.568670,3.42,0.0,0.0
5600,1.955466,2.80,0.0,0.0
5700,2.296961,2.42,0.0,0.0
5800,2.680523,2.11,0.0,0.0
5900,3.000580,1.92,0.0,0.0
6000,2.547127,2.30,0.0,0.0
6100,3.639760,1.64,0.0,0.0
6200,2.623405,2.31,0.0,0.0
6300,2.722502,2.26,0.0,0.0
6400,1.057199,5.91,0.0,0.0
6500,1.436734,4.42,0.0,0.0
6600,1.775952,3.63,0.0,0.0
6700,2.113562,3.10,0.0,0.0
6800,2.456293,2.70,0.0,0.0
6900,2.804683,2.40,0.0,0.0
7000,3.131852,2.18,0.0,0.0
7100,3.466681,2.00,0.0,0.0
7200,3.801357,1.85,0.0,0.0
7300,4.060944,1.76,0.0,0.0
7400,3.074064,2.35,0.0,0.0
7500,3.029135,2.42,0.0,0.0
7600,3.074314,2.41,0.0,0.0
7700,3.120588,2.41,0.0,0.0
7800,3.152263,2.42,0.0,0.0
7900,3.205514,2.41,0.0,0.0
8000,3.231246,2.42,0.0,0.0
8100,3.274101,2.42,0.0,0.0
8200,3.330770,2.40,0.0,0.0
8300,3.356249,2.42,0.0,0.0
8400,3.405219,2.41,0.0,0.0
8500,3.434337,2.42,0.0,0.0
8600,3.476748,2.42,0.0,0.0
8700,3.522360,2.41,0.0,0.0
8800,3.553685,2.42,0.0,0.0
8900,3.669239,2.37,0.0,0.0
9000,3.650840,2.41,0.0,0.0
9100,3.678479,2.42,0.0,0.0
9200,3.717058,2.42,0.0,0.0
9300,3.756667,2.42,0.0,0.0
9400,3.814825,2.41,0.0,0.0
9500,3.839685,2.42,0.0,0.0
9600,3.900804,2.40,0.0,0.0
9700,3.919862,2.42,0.0,0.0
9800,3.970075,2.41,0.0,0.0
9900,4.001734,2.42,0.0,0.0
10000,4.079864,2.39,0.0,0.0
10100,4.079435,2.42,0.0,0.0
10200,4.129212,2.41,0.0,0.0
